qPCR,well,sample,type,task,IPC_Ct,inhibition_rate,useful,Zymo,dilution,hake_Ct,hake_copies_ul
H7,D6,1541,unknowns,UNKNOWN,43.444,16.83,NO,,1,Undetermined,
H7,E4,1542,unknowns,UNKNOWN,27.366,0.752,NO,,1,32.554,4.826
H7,E5,1542,unknowns,UNKNOWN,30.388,3.774,NO,,1,34.777,0.987
H7,E6,1542,unknowns,UNKNOWN,27.095,0.481,NO,,1,31.697,8.903
H7,O1,1718,field_neg,UNKNOWN,26.346,-0.268,,,1,34.884,0.914
H7,O2,1718,field_neg,UNKNOWN,26.404,-0.21,,,1,34.706,1.038
H7,O3,1718,field_neg,UNKNOWN,26.463,-0.151,,,1,34.753,1.004
H7,F4,1779,unknowns,UNKNOWN,26.563,-0.051,,,1,37.809,0.113
H7,F5,1779,unknowns,UNKNOWN,26.738,0.124,,,1,34.162,1.53
H7,F6,1779,unknowns,UNKNOWN,26.665,0.051,,,1,36.382,0.314
H7,G4,1780,unknowns,UNKNOWN,26.538,-0.076,,,1,34.349,1.339
H7,G5,1780,unknowns,UNKNOWN,26.668,0.054,,,1,Undetermined,
H7,G6,1780,unknowns,UNKNOWN,26.645,0.031,,,1,Undetermined,
H7,A4,extc1105,extc,UNKNOWN,26.546,-0.068,,,1,Undetermined,
H7,A5,extc1105,extc,UNKNOWN,26.453,-0.161,,,1,Undetermined,
H7,A6,extc1105,extc,UNKNOWN,26.575,-0.039,,,1,Undetermined,
H7,B4,extc1107,extc,UNKNOWN,26.503,-0.111,,,1,Undetermined,
H7,B5,extc1107,extc,UNKNOWN,26.559,-0.055,,,1,Undetermined,
H7,B6,extc1107,extc,UNKNOWN,26.541,-0.073,,,1,Undetermined,
H7,C4,extc1112,extc,UNKNOWN,26.665,0.051,,,1,Undetermined,
H7,C5,extc1112,extc,UNKNOWN,26.565,-0.049,,,1,Undetermined,
H7,C6,extc1112,extc,UNKNOWN,26.586,-0.028,,,1,Undetermined,
H7,G1,ntc,ntc,NTC,26.627,0.013,,,1,Undetermined,
H7,G2,ntc,ntc,NTC,26.573,-0.041,,,1,Undetermined,
H7,G3,ntc,ntc,NTC,26.636,0.022,,,1,Undetermined,
H7,H1,ntc,ntc,NTC,26.631,0.017,,,1,Undetermined,
H7,H2,ntc,ntc,NTC,26.714,0.1,,,1,Undetermined,
H7,H3,ntc,ntc,NTC,26.526,-0.088,,,1,Undetermined,
H7,H4,ntc,ntc,NTC,26.655,0.041,,,1,Undetermined,
H7,H5,ntc,ntc,NTC,26.607,-0.007,,,1,Undetermined,
H7,H6,ntc,ntc,NTC,26.558,-0.056,,,1,Undetermined,
H8,A4,extc191105,extc,UNKNOWN,26.234,-0.12,,,1,Undetermined,
H8,A5,extc191105,extc,UNKNOWN,26.325,-0.028,,,1,Undetermined,
H8,A6,extc191105,extc,UNKNOWN,26.386,0.033,,,1,Undetermined,
H8,A7,extc200109,extc,UNKNOWN,26.331,-0.022,,,1,Undetermined,
H8,A8,extc200109,extc,UNKNOWN,26.436,0.082,,,1,Undetermined,
H8,A9,extc200109,extc,UNKNOWN,26.27,-0.084,,,1,Undetermined,
H8,A10,extc200129,extc,UNKNOWN,26.389,0.035,,,1,Undetermined,
H8,A11,extc200129,extc,UNKNOWN,26.408,0.055,,,1,Undetermined,
H8,A12,extc200129,extc,UNKNOWN,26.325,-0.029,,,1,Undetermined,
H8,B4,extc191107,extc,UNKNOWN,26.307,-0.046,,,1,Undetermined,
H8,B5,extc191107,extc,UNKNOWN,26.196,-0.157,,,1,Undetermined,
H8,B6,extc191107,extc,UNKNOWN,26.42,0.067,,,1,Undetermined,
H8,B7,extc200113,extc,UNKNOWN,26.438,0.085,,,1,Undetermined,
H8,B8,extc200113,extc,UNKNOWN,26.414,0.061,,,1,Undetermined,
H8,B9,extc200113,extc,UNKNOWN,26.469,0.116,,,1,Undetermined,
H8,B10,extc200130,extc,UNKNOWN,26.363,0.01,,,1,Undetermined,
H8,B11,extc200130,extc,UNKNOWN,26.475,0.122,,,1,Undetermined,
H8,B12,extc200130,extc,UNKNOWN,26.444,0.091,,,1,Undetermined,
H8,C4,extc191112,extc,UNKNOWN,26.351,-0.003,,,1,Undetermined,
H8,C5,extc191112,extc,UNKNOWN,26.271,-0.082,,,1,Undetermined,
H8,C6,extc191112,extc,UNKNOWN,26.479,0.126,,,1,Undetermined,
H8,C7,extc200115,extc,UNKNOWN,26.478,0.125,,,1,Undetermined,
H8,C8,extc200115,extc,UNKNOWN,26.509,0.155,,,1,Undetermined,
H8,C9,extc200115,extc,UNKNOWN,26.414,0.06,,,1,Undetermined,
H8,C10,extc200203a,extc,UNKNOWN,26.523,0.17,,,1,Undetermined,
H8,C11,extc200203a,extc,UNKNOWN,26.429,0.076,,,1,Undetermined,
H8,C12,extc200203a,extc,UNKNOWN,26.508,0.155,,,1,Undetermined,
H8,D4,extc191230,extc,UNKNOWN,26.451,0.097,,,1,Undetermined,
H8,D5,extc191230,extc,UNKNOWN,26.529,0.176,,,1,Undetermined,
H8,D6,extc191230,extc,UNKNOWN,26.435,0.082,,,1,Undetermined,
H8,D7,extc200121,extc,UNKNOWN,26.48,0.127,,,1,Undetermined,
H8,D8,extc200121,extc,UNKNOWN,26.608,0.255,,,1,Undetermined,
H8,D9,extc200121,extc,UNKNOWN,26.433,0.079,,,1,Undetermined,
H8,D10,extc200203b,extc,UNKNOWN,26.567,0.214,,,1,Undetermined,
H8,D11,extc200203b,extc,UNKNOWN,26.694,0.34,,,1,Undetermined,
H8,D12,extc200203b,extc,UNKNOWN,26.415,0.062,,,1,Undetermined,
